date,draftstatement,draftlabel,,,,,,,,,,,,,,,,,,,,,,,
2/2/05,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 21/4 percent. The Committee's policy actions since mid2004 have materially reduced the degree of monetary policy accommodation. The Committee believes that the stance of monetary policy remains somewhat accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Output appears to be growing at a moderate pace despite the rise in energy prices, and labor market conditions seem to be improving gradually. Inflation and longer-term inflation expectations remain well contained. The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to promote price stability and sustainable growth.",A,,,,,,,,,,,,,,,,,,,,,,,
2/2/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 21/2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Output appears to be growing at a moderate pace despite the rise in energy prices, and labor market conditions continue to improve gradually. Inflation and longer-term inflation expectations remain well contained. The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
2/2/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 23/4 percent. The Committee believes that the stance of monetary policy remains accommodative and, coupled with the underlying growth in productivity, is providing ongoing support to economic activity. Output appears to be growing at a moderate pace despite the rise in energy prices, and labor market conditions continue to improve. Inflation and inflation expectations remain well contained, but rising business costs have the potential to put upward pressure on prices. The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal.",C,,,,,,,,,,,,,,,,,,,,,,,
3/22/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 2-3/4 percent. This action brings the cumulative increase since June 2004 to 1-3/4 percentage points. The Committee believes that, after this action, the stance of monetary policy remains somewhat accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Output appears to be growing at a moderate pace despite the rise in energy prices, and labor market conditions continue to improve gradually. Although month-to-month movements in inflation have been volatile of late, underlying inflation and longer-term inflation expectations remain well contained. The Committee perceives that, if the current target for the federal funds rate were maintained for the next few quarters, it is more likely than not that output would grow at a pace faster than is sustainable and that inflation pressures would pick up. However, the pace at which policy accommodation will be removed to contain those risks will depend on economic prospects.",A,,,,,,,,,,,,,,,,,,,,,,,
3/22/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 2-3/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Output appears to continue to be growing at a solid pace despite the rise in energy prices, and labor market conditions continue to improve gradually. Longer-term inflation expectations remain well contained, though pressures on inflation have picked up modestly in recent months. The rise in energy prices, however, has not notably fed through to wages or core consumer prices. The Committee perceives that, with appropriate policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured; nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
3/22/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 3 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Output continues to grow at a pace sufficient to eliminate any remaining resource slack. While longer-term inflation expectations remain contained, pressures on inflation have intensified in recent months. The Committee perceives that, if the current target for the federal funds rate were maintained for the next few quarters, it is more likely than not that output would grow at a pace faster than is sustainable and that inflation pressures would pick up. However, the pace at which policy accommodation will be removed to contain those risks will depend on economic prospects.",C,,,,,,,,,,,,,,,,,,,,,,,
5/3/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate a further 25 basis points to 3 percent. The Committee believes that, even after this action, the stance of monetary policy remains somewhat accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Recent data suggest that the solid pace of spending growth has slowed, partly in response the earlier increases in energy prices. Labor market conditions, however, apparently continue to improve gradually. While pressures on inflation have picked up in recent months, and pricing power is more evident, longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be relatively low, the Committee believes that remaining policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",A,,,,,,,,,,,,,,,,,,,,,,,
5/3/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Recent data suggest that the solid pace of spending growth has slowed somewhat, partly in response to the earlier increases in energy prices. Labor market conditions, however, apparently continue to improve gradually. Pressures on inflation have picked up in recent months, and pricing power is more evident. Longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
5/3/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 3-1/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and is providing ongoing support to economic activity. Output continues to grow at a sufficient to eliminate any remaining resource slack. Though longer-term inflation expectations remain well contained, pressures on inflation have picked up in recent months and pricing power is more evident. The Committee will respond to changes in economic prospects as needed to fulfill its obligation to foster the attainment of both sustainable economic growth and price stability.",C,,,,,,,,,,,,,,,,,,,,,,,
6/30/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/4 percent. The Committee believes that the degree of monetary policy accommodation has been substantially reduced. Robust underlying growth in productivity, continues to provide support to economic activity. Nonetheless, growth in spending slowed somewhat in the spring, partly in response to elevated energy prices. Labor market conditions, however, apparently continue to improve gradually. Readings on inflation have been subdued in recent months, and longer-term inflation expectations have declined. The Committee perceives that, with appropriate monetary policy, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that remaining policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",A,,,,,,,,,,,,,,,,,,,,,,,
6/30/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Growth in spending slowed somewhat in the spring, and energy prices have risen further. Nonetheless, recent data suggest that the expansion remains solid and that labor market conditions continue to improve gradually. Pressures on inflation have stayed elevated, but longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
6/30/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 3-1/2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and is providing ongoing support to economic activity. Recent data suggest that the underlying pace of spending growth remains solid despite elevated energy prices. Labor market conditions continue to improve. Pressures on inflation have picked up further in recent months, although measures of longer-term inflation expectations remain well contained. The Committee will respond to changes in economic prospects as needed to fulfill its obligation to foster the attainment of both sustainable economic growth and price stability.",C,,,,,,,,,,,,,,,,,,,,,,,
