All Tables
Month	yyyy	ics_all	ics_inc31	ics_inc32	ics_inc33	ics_a1834	ics_a3554	ics_a5597	ics_ne	ics_nc	ics_s	ics_w	icc_all	ice_all	pago_f_all	pago_s_all	pago_u_all	pago_dk_all	pago_r_all	pagorn_hy_all	pagorn_ha_all	pagorn_ld_all	pagorn_ly_all	pagorn_hp_all	pagorn_la_all	pagorn_hd_all	pagorn_ny_all	pagorn_nad_all	pexp_f_all	pexp_s_all	pexp_u_all	pexp_dk_all	pexp_r_all	ptrd_bb_all	ptrd_bs_all	ptrd_ss_all	ptrd_ws_all	ptrd_ww_all	ptrd_bw_all	ptrd_dk_all	ptrd_r_all	pago5_f_all	pago5_s_all	pago5_u_all	pago5_dk_all	pago5_r_all	pexp5_f_all	pexp5_s_all	pexp5_u_all	pexp5_dk_all	pexp5_r_all	ptrd5_bb_all	ptrd5_bs_all	ptrd5_ss_all	ptrd5_ws_all	ptrd5_ww_all	ptrd5_bw_all	ptrd5_dk_all	ptrd5_r_all	inex_dwn_all	inex_0_all	inex_12_all	inex_34_all	inex_5_all	inex_69_all	inex_125_all	inex_25p_all	inex_dkup_all	inex_dk_all	inex_med_all	inex_r_all	rinc_f_all	rinc_s_all	rinc_u_all	rinc_dk_all	rinc_r_all	pinc2_0_all	pinc2_0124_all	pinc2_2549_all	pinc2_50_all	pinc2_5174_all	pinc2_7599_all	pinc2_100_all	pinc2_dk_all	pinc2_mean_all	pinc_0_all	pinc_0124_all	pinc_2549_all	pinc_50_all	pinc_5174_all	pinc_7599_all	pinc_100_all	pinc_dk_all	pinc_mean_all	pjob_0_all	pjob_0124_all	pjob_2549_all	pjob_50_all	pjob_5174_all	pjob_7599_all	pjob_100_all	pjob_dk_all	pjob_mean_all	pssa_0_all	pssa_0124_all	pssa_2549_all	pssa_50_all	pssa_5174_all	pssa_7599_all	pssa_100_all	pssa_dk_all	pssa_mean_all	pcry_f_all	pcry_s_all	pcry_u_all	pcry_dk_all	pcry_r_all	pstk_0_all	pstk_0124_all	pstk_2549_all	pstk_50_all	pstk_5174_all	pstk_7599_all	pstk_100_all	pstk_dk_all	pstk_mean_all	inv_9_all	inv_24_all	inv_49_all	inv_99_all	inv_199_all	inv_499_all	inv_500_all	inv_dk_all	inv_md_all	inv_p25_all	inv_p75_all	inv_r50_all	hmv_99_all	hmv_199_all	hmv_299_all	hmv_399_all	hmv_499_all	hmv_500_all	hmv_dk_all	hmv_md_all	hmv_p25_all	hmv_p75_all	hmv_r50_all	news_f_all	news_u_all	news_n_all	news_r_all	newsrn_f_govt_all	newsrn_f_emp_all	newsrn_f_dem_all	newsrn_f_pri_all	newsrn_f_cred_all	newsrn_f_stk_all	newsrn_f_trd_all	newsrn_u_govt_all	newsrn_u_emp_all	newsrn_u_dem_all	newsrn_u_pri_all	newsrn_u_cred_all	newsrn_u_eng_all	newsrn_u_stk_all	newsrn_u_trd_all	newsrn_np_all	newsrn_ne_all	newsrn_ng_all	bago_f_all	bago_s_all	bago_u_all	bago_dk_all	bago_r_all	bexp_f_all	bexp_s_all	bexp_u_all	bexp_dk_all	bexp_r_all	btrd_bb_all	btrd_bs_all	btrd_ss_all	btrd_ws_all	btrd_ww_all	btrd_bw_all	btrd_dk_all	btrd_r_all	bus12_f_all	bus12_s_all	bus12_u_all	bus12_dk_all	bus12_na_all	bus12_r_all	bus5_f_all	bus5_s_all	bus5_u_all	bus5_na_all	bus5_r_all	umex_f_all	umex_s_all	umex_u_all	umex_dk_all	umex_r_all	ratex_f_all	ratex_s_all	ratex_u_all	ratex_dk_all	ratex_r_all	px1_dwn_all	px1_0_all	px1_12_all	px1_34_all	px1_5_all	px1_69_all	px1_1014_all	px1_15p_all	px1_dkup_all	px1_dk_all	px1_mean_all	px1_var_all	px1_med_all	px1_std_all	px1_p25_all	px1_p75_all	px1_r50_all	px5_dwn_all	px5_0_all	px5_12_all	px5_34_all	px5_5_all	px5_69_all	px5_1014_all	px5_15p_all	px5_dkup_all	px5_dk_all	px5_mean_all	px5_var_all	px5_std_all	px5_med_all	px5_p25_all	px5_p75_all	px5_r50_all	govt_f_all	govt_s_all	govt_u_all	govt_dk_all	govt_r_all	dur_f_all	dur_s_all	dur_u_all	dur_r_all	durrn_lp_all	durrn_biap_all	durrn_lr_all	durrn_biar_all	durrn_gt_all	durrn_hp_all	durrn_hr_all	durrn_tb_all	durrn_fb_all	durrn_np_all	durrn_nr_all	durrn_nt_all	veh_f_all	veh_s_all	veh_u_all	veh_r_all	vehrn_lp_all	vehrn_biap_all	vehrn_lr_all	vehrn_biar_all	vehrn_gt_all	vehrn_mpg_all	vehrn_hp_all	vehrn_hr_all	vehrn_tb_all	vehrn_fb_all	vehrn_gas_all	vehrn_sel_all	vehrn_np_all	vehrn_nr_all	gas1px_f_all	gas1px_s_all	gas1px_u_all	gas1px_dk_all	gas1px_md_all	gas1px_mean_all	gas5px_f_all	gas5px_s_all	gas5px_u_all	gas5px_dk_all	gas5px_md_all	gas5px_mean_all	hom_f_all	hom_s_all	hom_u_all	hom_r_all	homrn_lp_all	homrn_biap_all	homrn_lr_all	homrn_biar_all	homrn_inv_all	homrn_gt_all	homrn_hp_all	homrn_hr_all	homrn_tb_all	homrn_fb_all	homrn_cd_all	homrn_np_all	homrn_nr_all	homrn_nt_all	homrn_ni_all	shom_f_all	shom_s_all	shom_u_all	shom_r_all	shomrn_hp_all	shomrn_siap_all	shomrn_lr_all	shomrn_siar_all	shomrn_gt_all	shomrn_inv_all	shomrn_lp_all	shomrn_hr_all	shomrn_tb_all	shomrn_fb_all	shomrn_cd_all	shomrn_np_all	shomrn_nr_all	shomrn_nt_all	shomrn_ni_all	homval_f_all	homval_s_all	homval_u_all	homval_dk_all	homval_r_all	hompx1_f_all	hompx1_s_all	hompx1_u_all	hompx1_dk_all	hompx1_mean_all	hompx1_md_all	hompx1_var_all	hompx1_p25_all	hompx1_p75_all	hompx1_r50_all	hompx5_f_all	hompx5_s_all	hompx5_u_all	hompx5_dk_all	hompx5_mean_all	hompx5_md_all	hompx5_var_all	hompx5_p25_all	hompx5_p75_all	hompx5_r50_all	
1	2008	78.4	70.1	76.8	87.9	90.5	80.6	71.7	78.8	79.9	79.9	73.8	94.4	68.1	35	28	37	0	98	26	5	5	20	25	3	4	6	3	32	51	16	1	116	13	26	16	22	8	14	1	109																			16	20	14	20	7	4	10	5	3	1	2.3	147	16	45	38	1	78	13	18	9	15	5	21	16	3	50.7	15	32	12	18	6	11	5	1	35.8	46	28	7	10	2	4	2	1	17.4	20	27	15	17	4	12	3	2	33.4	23	50	27	0	96	3	18	11	19	14	24	7	4	53.4	10	12	9	15	11	13	8	22	61855	20117	230625	210508	16	25	20	7	8	14	10	204401	129175	383125	253950	13	88	34	25	0	5	1	1	3	0	0	3	24	6	15	1	0	7	1	-14	-19	-3	17	9	73	1	44	23	50	26	1	97	6	11	5	36	23	16	3	58	30	3	62	2	3	68	38	9	50	3	88	6	46	47	1	59	38	24	38	0	100	4	10	16	23	19	4	11	1	12	0	4	12	3.4	3.5	1.8	5.2	3.4	3	2	28	28	17	3	5	1	11	2	3.4	8	2.8	3	1.8	4.7	2.9	14	49	36	1	78	70	6	24	146	38	7	7	0	2	4	2	12	7	34	5	-17	56	7	37	119	33	4	10	1	0	5	8	5	10	3	9	6	25	5	5	25	70	0	14.5	21.6	4	13	82	1	50.5	69.7	61	2	37	124	51	2	19	1	2	0	10	20	16	2	2	41	-1	-18	0	11	1	88	23	3	1	2	0	1	2	51	12	32	3	5	-48	-10	-34	-3	29	38	31	2	98	21	57	21	1	-0.3	0	33	-0.4	0.4	0.9	61	28	8	3	2.7	2.4	31	0.1	4.8	4.8	
2	2008	70.8	63.3	75.3	73.7	82.7	71.5	65.2	73.9	68.1	69.9	72.5	83.8	62.4	35	24	41	0	94	28	5	5	23	27	3	1	5	6	28	55	16	1	112	12	26	13	27	8	13	1	103																			19	23	11	18	8	4	12	4	1	0	1.9	139	14	40	45	1	69	17	21	8	15	7	16	15	1	45.8	14	32	13	20	6	10	3	2	34.6	43	29	8	10	3	4	2	1	19	20	28	13	16	7	11	4	1	33.9	20	49	31	0	89	2	18	11	21	18	22	5	3	51.4	11	10	15	12	10	17	9	16	61957	22094	209719	187625	18	30	20	10	5	12	5	190066	108974	305510	196536	15	97	32	18	2	6	0	0	5	0	0	3	33	6	11	1	0	7	2	-11	-27	-1	10	5	84	1	26	21	49	28	2	93	2	7	3	41	26	18	3	42	22	2	68	3	5	54	36	8	53	3	83	9	41	50	0	59	41	28	28	3	113	6	10	15	19	22	5	10	2	10	1	3.9	19	3.6	4.3	1.7	5.3	3.6	5	3	26	27	15	4	6	1	11	2	3.4	10	3.1	3	1.6	4.8	3.2	9	50	40	1	69	58	7	35	123	33	6	9	0	2	7	5	15	13	26	4	-26	55	9	36	119	37	3	15	0	1	4	11	6	12	7	8	7	26	9	5	31	63	1	9.8	18	7	16	76	1	50	63.1	69	2	29	140	56	1	34	1	2	0	9	11	15	3	1	47	23	-18	1	9	2	89	20	2	1	1	0	2	0	58	11	29	6	8	-56	-10	-33	-8	23	42	35	0	88	20	54	26	0	-1	-0.1	68	-2.5	0.4	2.9	57	32	11	0	3.1	2.2	52	-0.1	5.1	5.2	
3	2008	69.5	59.8	71.6	78.4	86.8	70.9	61.7	69.8	71.1	68.3	69.5	84.2	60.1	35	23	42	0	93	28	5	6	19	32	4	3	9	4	29	54	17	0	112	12	24	17	21	11	14	1	104																			13	25	11	18	11	3	11	5	3	0	2.5	149	15	41	44	0	71	15	20	7	15	8	20	14	1	48	16	31	12	20	8	9	3	1	34.4	45	30	7	8	3	4	2	1	17.6	16	29	15	15	5	16	3	1	35.2	19	51	30	0	89	4	21	16	23	13	20	3	0	46.9	9	11	15	12	12	12	9	20	57292	21625	203781	182156	13	28	18	13	8	10	10	208036	122587	348444	225856	10	105	28	5	1	3	0	0	2	1	1	3	34	5	19	2	0	6	3	-19	-31	-2	9	4	86	1	23	19	46	32	3	87	2	7	2	38	31	17	3	40	19	2	73	2	4	46	35	7	54	4	81	7	38	55	0	52	38	26	35	1	103	4	7	14	22	21	5	14	3	10	0	4.6	20	4.3	4.4	2.3	5.5	3.1	6	4	27	29	13	4	6	1	9	1	3.2	10	3.2	2.9	1.6	4.6	3	12	43	44	1	68	58	8	34	124	30	6	8	0	4	6	6	17	10	24	2	-23	54	6	40	114	36	3	16	0	1	5	9	4	15	6	13	5	27	12	4	16	80	0	24.8	31.7	9	10	79	2	72.7	78	63	3	34	129	53	1	25	0	4	0	11	17	17	3	1	42	8	-20	3	9	3	88	21	2	1	1	0	1	0	60	13	29	3	7	-58	-12	-31	-7	23	39	37	1	86	19	59	22	0	-0.4	0	44	-0.4	0.4	0.8	65	27	7	1	3.1	2.5	35	0	5	5	
4	2008	62.6	57.4	64.8	67.8	71.8	61.1	60.9	58.2	61	66.1	62.8	77	53.3	31	24	45	0	86	24	5	7	24	35	6	2	0	4	21	56	21	2	100	9	21	15	28	13	11	3	89																			19	28	11	16	10	4	7	3	1	1	1	133	11	37	50	2	61	21	21	7	11	7	17	14	2	44.4	16	33	15	16	6	8	4	2	32.7	42	27	9	12	3	3	2	2	19.1	18	31	13	16	5	10	4	3	33.3	17	47	36	0	81	4	24	16	19	9	20	6	2	46.7	12	12	11	15	12	15	7	16	56250	19969	202161	182192	14	31	20	11	5	11	8	198856	121221	315000	193779	12	112	27	0	2	4	0	0	3	0	0	5	37	6	18	2	0	7	2	-18	-33	-3	6	6	87	1	19	19	44	35	2	84	2	5	3	38	33	16	3	36	16	3	76	3	2	40	30	10	59	1	71	5	36	59	0	46	31	32	35	2	96	5	5	10	19	20	5	16	8	11	1	5.7	26	4.8	5.1	2.7	9.7	7	9	4	18	26	16	5	7	1	12	2	3.5	12	3.5	3.2	1.7	5	3.3	7	47	43	3	64	52	8	40	112	30	5	6	0	1	11	5	19	13	19	1	-31	51	8	41	110	34	3	14	0	0	5	9	4	17	8	14	5	25	10	4	14	81	1	29.8	33.9	8	12	79	1	65.2	76.9	66	4	30	136	57	1	31	0	3	0	8	12	16	3	1	49	19	-19	2	7	3	90	17	2	2	2	0	0	1	60	11	29	5	9	-58	-9	-34	-8	21	34	44	1	77	17	56	26	1	-1	-0.1	49	-1.8	0.4	2.2	59	29	9	3	3	2.6	26	0	4.9	4.9	
5	2008	59.8	55.4	57.3	66.8	73	57.2	56.9	57.8	58.2	60.8	61.5	73.3	51.1	29	22	49	0	80	23	2	4	26	39	6	2	-3	-2	22	52	24	2	98	8	21	13	28	15	12	3	86																			21	21	12	16	9	4	10	5	2	0	2	137	15	34	49	2	66	18	20	9	13	9	16	14	1	45.7	17	33	14	14	6	11	4	1	33.5	45	28	6	12	2	4	1	2	17.3	18	29	13	15	7	11	5	2	34.6	15	47	38	0	77	4	26	9	24	12	19	5	1	47.1	13	8	9	16	14	13	9	18	72007	23525	205139	181614	15	31	17	11	5	12	9	197091	120289	349013	228725	13	109	27	4	3	6	0	0	2	1	0	2	37	8	31	1	0	4	3	-31	-31	1	3	4	92	1	11	16	41	41	2	75	1	2	3	37	40	14	3	26	13	3	77	3	4	36	28	9	60	3	68	3	41	56	0	47	25	38	36	1	89	2	3	7	17	21	7	19	11	13	0	7	29	5.2	5.4	3.3	10	6.6	6	5	15	27	18	6	9	1	11	2	4	14	3.7	3.4	2.2	5.2	3	6	37	55	2	51	51	7	42	109	26	6	5	0	2	9	4	20	17	17	1	-35	45	6	49	96	34	2	8	0	1	9	8	6	15	8	22	10	26	2	3	12	84	1	39.6	43.8	10	10	80	0	99.7	95.1	64	2	34	130	59	3	24	1	2	0	8	12	19	5	2	51	12	-24	0	9	2	89	20	2	1	1	0	1	1	57	7	32	6	6	-55	-6	-37	-5	20	38	42	0	78	19	53	27	1	-0.7	-0.1	49	-2.9	0.4	3.3	59	30	9	2	2.5	2.2	28	0	4.9	4.9	
6	2008	56.4	52.4	54.1	62.2	60.4	57.4	53.6	57	55.6	57.7	54.3	67.6	49.2	26	17	57	0	69	21	4	5	25	48	5	3	-4	1	21	52	25	2	96	8	17	11	31	18	13	2	76																			20	23	11	16	10	5	9	4	2	0	1.8	137	11	30	57	2	54	17	18	6	15	10	18	14	2	48	20	32	12	16	5	11	3	1	32.7	43	26	9	14	2	4	2	0	19.9	17	27	15	16	6	10	7	2	36.1	18	44	37	1	81	3	24	15	22	12	17	4	3	46	13	12	10	14	13	14	8	16	63722	18233	197279	179046	18	28	21	10	6	11	6	201851	114070	321927	207857	9	109	27	0	1	3	0	0	1	0	1	3	40	8	34	0	0	4	1	-34	-37	-2	4	4	91	1	13	15	42	41	2	74	2	1	3	38	40	14	2	25	13	4	75	4	4	38	25	6	66	3	59	5	31	64	0	41	22	33	44	1	78	3	5	5	17	22	7	16	10	14	1	6.5	32	5.1	5.7	3.2	9.9	6.6	8	3	17	26	15	6	10	2	11	2	4	16	4	3.4	1.8	5.3	3.4	8	44	46	2	62	49	6	45	104	25	8	5	0	2	13	3	23	14	12	2	-35	43	5	52	91	32	1	9	0	1	11	11	3	14	4	24	12	21	6	5	15	80	0	49.6	51.4	10	11	78	1	100.1	113.9	65	3	32	133	57	2	25	1	3	0	9	13	19	5	1	48	12	-24	2	8	1	91	17	1	2	1	0	1	1	60	7	34	5	8	-59	-6	-38	-7	23	39	38	0	85	20	55	25	0	-1	0	57	-0.5	0.4	0.9	55	32	12	1	2.7	1.9	40	-0.1	4.9	5.1	
7	2008	61.2	60.1	58.3	67.9	77	59	56.4	60.7	58.6	63.5	60.7	73.1	53.5	26	21	53	0	73	24	2	3	22	45	5	4	2	-4	27	48	22	3	105	10	18	11	29	15	14	3	84																			21	23	10	16	8	5	12	4	1	0	2	135	14	37	47	2	67	16	21	9	14	8	18	12	2	44.2	18	32	12	16	7	11	3	1	32.9	47	28	8	10	2	3	1	1	16.1	19	28	15	17	5	11	3	2	33.1	14	48	38	0	76	5	27	15	27	12	11	2	1	40.6	11	11	12	15	14	14	7	16	59865	20118	193936	173818	18	27	21	10	7	9	8	200474	122130	313846	191717	9	108	29	1	2	5	0	0	1	0	0	3	38	5	30	1	0	7	2	-30	-33	-1	7	4	88	1	19	15	51	33	1	82	1	6	3	43	32	13	2	32	17	3	75	1	4	42	28	7	63	2	65	7	32	61	0	46	17	36	46	1	71	3	5	8	16	21	7	19	8	12	1	6.3	28	5.1	5.3	3.1	9.8	6.7	9	5	16	26	17	4	9	1	11	2	3.5	14	3.8	3.2	1.4	5.1	3.7	6	43	50	1	56	54	7	39	115	33	6	6	0	1	8	5	19	14	25	1	-32	49	5	46	103	38	1	8	0	1	8	8	4	15	5	23	11	30	4	6	20	74	0	29.6	40.3	13	15	71	1	99.6	99.1	69	0	31	138	61	1	23	1	3	1	10	10	18	4	1	51	13	-21	2	6	3	91	15	2	0	1	1	1	1	58	8	32	5	10	-56	-7	-36	-9	20	38	41	1	79	19	54	26	1	-0.4	-0.1	44	-1.8	0.4	2.2	61	28	10	1	3.1	2.3	41	0	4.9	4.9	
8	2008	63	55.7	64.4	69.5	75.3	64.7	57.6	64.1	65.4	63.4	58.5	71	57.9	26	20	54	0	72	22	2	6	27	45	6	2	-5	0	23	57	18	2	105	9	20	12	33	13	11	2	83																			18	23	11	17	10	3	11	5	2	0	2.2	141	12	38	49	1	63	15	19	7	15	7	20	15	2	49	13	36	14	17	6	9	4	1	33.2	45	27	9	11	3	5	0	0	18.1	16	30	13	16	9	10	4	2	35.3	15	44	41	0	74	4	23	13	21	15	17	3	4	46.2	11	8	9	14	12	19	10	17	84583	27188	235511	208324	14	27	22	10	6	11	10	201322	128851	302791	173940	12	110	29	2	2	5	1	1	0	0	0	4	35	10	25	2	0	4	2	-24	-30	-2	6	3	91	0	15	21	49	29	1	92	3	4	2	44	29	17	1	34	20	5	68	1	6	52	29	11	57	3	72	5	40	55	0	50	15	38	46	1	69	3	10	8	18	23	9	10	6	11	2	5.3	24	4.8	4.9	2.7	7	4.3	5	5	19	27	14	5	9	2	12	2	3.9	12	3.5	3.2	1.9	5.1	3.2	6	42	51	1	55	51	8	41	110	30	5	4	0	2	6	7	24	13	24	-3	-35	49	5	46	103	38	2	7	0	0	10	10	3	15	6	17	13	28	4	15	41	43	1	0.3	16.1	15	22	62	1	49.9	71.9	71	4	25	146	65	3	22	1	2	0	6	9	15	5	1	59	13	-20	1	8	2	90	18	1	1	1	0	3	0	63	13	26	6	12	-62	-12	-29	-12	20	34	46	0	74	21	56	22	1	-0.3	0	41	-0.5	0.4	0.9	63	28	8	1	3	2.7	38	0.1	5	4.9	
9	2008	70.3	66.9	69.1	74.8	74.5	71.9	66.9	70.1	68	73.4	67.4	75	67.2	33	20	47	0	86	29	3	4	25	37	4	3	4	0	33	51	13	3	120	15	21	11	26	8	15	4	102																			13	23	14	17	9	4	12	6	1	1	2.4	150	16	39	44	1	72	14	17	4	12	7	25	18	3	54.2	13	33	12	19	6	11	4	2	35.5	41	30	12	9	1	5	1	1	17.7	14	31	13	17	5	15	3	2	35.5	16	45	38	1	78	4	21	13	24	13	19	3	3	47.1	9	12	14	17	13	13	11	11	67800	25390	196273	170883	17	26	20	13	7	12	5	203539	124250	346094	221844	15	108	28	7	1	5	0	4	1	0	1	9	31	7	17	2	0	10	1	-13	-26	-8	7	4	89	0	18	30	44	24	2	106	4	4	3	40	23	24	2	45	28	4	63	2	3	65	35	11	52	2	83	9	41	50	0	59	19	36	43	2	76	5	14	12	16	18	7	13	5	9	1	4.6	24	4.3	4.9	1.5	6.9	5.4	7	5	22	28	15	4	7	1	9	2	3.3	11	3.4	3	1.6	4.8	3.2	7	43	49	1	58	51	5	44	107	32	8	4	0	2	7	5	23	14	25	-1	-35	52	4	44	108	40	2	9	0	1	8	9	6	14	6	15	13	31	3	16	43	40	1	0.3	12.9	16	24	58	2	30.4	57.7	69	2	29	140	62	2	21	0	3	1	7	12	17	5	2	55	9	-21	1	7	1	92	15	1	1	1	0	1	0	64	12	31	4	10	-63	-11	-34	-10	21	39	39	1	82	20	62	18	0	0	0	28	-0.4	0.4	0.8	61	31	7	1	2.9	2.1	31	0.1	4.9	4.8	
10	2008	57.6	59.7	55.6	58.2	62.7	59.4	53.8	54.7	57.7	60.3	55.1	58.4	57	19	22	59	0	60	15	1	3	29	37	12	3	-14	-11	24	53	18	5	106	6	15	14	31	13	15	6	77																			20	26	11	17	8	3	8	4	1	2	1.2	132	12	42	46	0	66	19	23	6	15	6	17	13	1	44.1	17	30	16	20	4	9	3	1	32.4	41	29	10	10	2	5	2	1	19.6	18	29	15	15	6	11	4	2	33.4	11	43	45	1	66	4	32	17	20	8	15	3	1	39.8	12	8	13	16	17	12	7	15	69250	24050	153056	129006	15	33	17	12	5	11	7	190714	119009	312875	193866	10	129	21	-19	2	3	0	1	1	1	0	14	35	8	9	7	0	18	1	-8	-32	-12	3	3	93	1	10	25	44	26	5	99	1	3	1	41	25	24	5	38	17	7	68	3	5	49	28	13	57	2	71	6	31	62	1	44	27	28	43	2	84	8	16	8	15	17	4	13	5	13	1	4.3	27	3.9	5.2	0.8	7.1	6.3	8	6	20	27	15	4	7	0	10	3	3.1	11	3.3	2.9	1.4	4.8	3.4	5	39	55	1	50	41	7	52	89	27	3	3	0	1	8	11	23	22	19	-8	-44	47	4	49	98	41	2	9	0	0	4	9	17	17	10	11	8	32	-8	15	47	38	0	0.2	13.1	13	29	58	0	29.9	61.2	57	3	40	117	55	2	15	0	3	0	8	24	15	9	2	47	-9	-24	1	6	3	91	15	1	2	1	0	1	0	60	19	26	9	11	-59	-18	-34	-11	16	35	49	0	67	16	56	27	1	-1	-0.1	53	-2.1	0.3	2.4	56	34	8	2	2.1	1.7	25	0	4.6	4.6	
